"","[ 더기프트 ] 직매입 상품 판매 코드 리스트 CODE
NUMBER","브랜드","제품명","옵션명","구분","품목코드","재고","가용재고","TODAY","소비기한","남은기한","판매 가능일","10/20 출고 전 기준
실 재고","","CODE
NUMBER","브랜드","품목명","구분","품목코드","","","","","","","","","","","","","","","","","",""
"","12","정수당","데일리넛츠 하루간식 블랙","하루간식 블랙","원물","TGJSD03O1"," TGJSD03D1","","2026. 4. 16","2026. 9. 2","  139 ","","  1,000 ","","","","","","","","","","","","","","","","","","","","","","","",""
"","13","정수당","데일리넛츠 하루습관 화이트","하루습관 화이트","원물","TGJSD03O2"," TGJSD03D1","","2026. 4. 16","2026. 12. 9","  237 ","","  1,000 ","","","","","","","","","","","","","","","","","","","","","","","",""
"","14","정수당","데일리넛츠 하루시작 퍼플","하루시작 퍼플","원물","TGJSD03O3"," TGJSD03D1","","2026. 4. 16","2027. 1. 14","  273 ","","  1,000 ","","","","","","","","","","","","","","","","","","","","","","","",""
"","15","정수당","비타민 답례품","종근당 비타씨플러스","SET","TGJSD04D1","","","2026. 4. 16","2027. 6. 27","  437 ","","  2,000 ","","","","","","","","","","","","","","","","","","","","","","","",""
"","16","테라로사","강릉 드립백 (1box/3ea)","","SET
3ea/box","TGTRS01","","","2026. 4. 16","2026. 3. 7","- 40 ","","  6,058 ","","","","","","","","","","","","","","","","","","","","","","","",""
"","17","정백","이부키산","","SET","TGIBK01D1","","","","","","","  150 ","","","","","","","","","","","","","","","","","","","","","","","",""
"","18","정백","핸드워시 기프트","","SET","TGJBK01D1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","19","정백","핸드워시&리필 기프트 세트","","SET","TGJBK04D1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","20","정백","주방세제 기프트","","SET","TGJBK03D1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","35","바른손카드","2026 레터프레스 캘린더","[바] 2026 레터프레스 캘린더","","2026_calendar_set","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","36","정백","소금 그라인더 답례품","","","TGJSD05D1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","37","정백","핸드크림&핸드워시 기프트 세트","","","TGJBK05D1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","38","정백","핸드크림 기프트","","SET","TGJBK02D1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","39","정수당","[오늘출발] 비타민 답례품 (화이트)","","","TGJSD04D1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","40","정백","[오늘출발] 핸드크림&핸드워시 기프트 세트 ([감사])","","","TGJBK05D1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","41","정백","[오늘출발] 핸드워시 기프트 ([감사])","","","TGJBK01D1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","42","정수당","[오늘출발] 메이플 호두정과 (80g)","","","TGJSD01","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","43","정수당","비타민 답례품 (화이트)","","","TGJSD04D1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","44","정백","핸드크림&핸드워시 기프트 세트 ([감사])","","","TGJBK05D1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","45","정수당","[오늘출발] 시그니처 허니 기프트","","","TGJSD02D1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","46","정수당","[오늘출발] 소금 그라인더 답례품","","","TGJSD05D1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","47","정수당","[오늘출발] 블루밍 데이 기프트","","","OSL002","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","48","정백","[오늘출발] 핸드크림&핸드워시 기프트 세트 ([thank you])","","","TGJBK05D1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","49","정백","[오늘출발] 핸드크림 기프트 ([thank you])","","","TGJBK02D1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","50","정수당","[오늘출발] 비타민 답례품 (블루)","","","TGJSD04D1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","51","정수당","비타민 답례품 (블루)","","","TGJSD04D1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","52","정백","핸드워시&리필 기프트 세트 ([감사])","","","TGJBK04D1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","53","정백","핸드워시 기프트 ([감사])","","","TGJBK01D1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","54","오설록","[오늘출발] 프리미엄 녹차와플","","","OSL005","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","55","정백","[오늘출발] 핸드크림&핸드워시 기프트 세트","","","TGJBK05D1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","56","정백","핸드크림&핸드워시 기프트 세트 ([thank you])","","","TGJBK05D1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","57","정수당","바른쿠키 (4종 8개입)","","","TGJSD08D1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","58","정백","핸드크림 기프트 ([감사])","","","TGJBK02D1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","59","정수당","[오늘출발] 바른쿠키 (4종 8개입)","","","TGJSD08D1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","60","오설록","말차 프레첼","","","OSL006","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","61","","블루밍 데이 기프트","","","OSL002","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","62","","[오늘출발] 데일리너츠 (하루시작(퍼플))","","","TGJSD03O3","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","63","","커피 드립백 핸디 기프트 (3입) (화이트)","","","TGIKX01","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","64","","핸드크림 기프트 ([thank you])","","","TGJBK02D1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","65","","[오늘출발] 핸드워시 기프트 ([thank you])","","","TGJBK01D1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","66","","핸드워시 기프트 ([thank you])","","","TGJBK01D1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","67","","데일리너츠 (하루습관(화이트))","","","TGJSD03O2","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","68","","주방세제 기프트 ([감사])","","","TGJBK03D1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","69","","에스프레소 블록 커피 4p 선물세트","","","TGAMT01O1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","70","","[오늘출발] 커피 드립백 핸디 기프트 (3입) (블랙)","","","TGIKX01","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","71","","[오늘출발] 에스프레소 블록 커피 4p 선물세트","","","TGAMT01O1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","72","","데일리너츠 (하루시작(퍼플))","","","TGJSD03O3","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","73","","[오늘출발] 핸드워시&리필 기프트 세트 ([감사])","","","TGJBK04D1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","74","","[오늘출발] 에스프레소 블록 커피 4p 선물세트 ((c)ThankYou_wedding)","","","TGAMT01O1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","75","","메이플 호두정과","","","TGJSD01","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","76","","이코복스 커피 드립백 3p","","","TGIKX01","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","77","","핸드크림&핸드워시 세트","","","TGJBK05D1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","78","","그린티 웨하스","","","TGOSL003D1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","79","","바른 쿠키","","","TGJSD08D1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","80","","소금 그라인더","","","TGJSD05D1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","81","","[오늘출발] 밤잼 미니 튜브","","","TGCRM01D1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","82","","에스프레소 블록 커피 4p 선물세트 ((c)ThankYou_wedding)","","","TGAMT01O1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","83","정수당","유기농 100% NFC 저온 착즙 레몬 스틱","","","TGJSD06D1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","84","정수당","유기농 100% 엑스트라버진 올리브 스틱","","","TGJSD07D1","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","85","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","86","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","87","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","88","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","89","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","90","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","91","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","92","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","93","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","94","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","95","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","96","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","97","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","98","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","99","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","100","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","101","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","102","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","103","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","104","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","105","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","106","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","107","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","108","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","109","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","110","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","111","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","112","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","113","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","114","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","115","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","116","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","117","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","118","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","119","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","120","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","121","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","122","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","123","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","124","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","125","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","126","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","127","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","128","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","129","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","130","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","131","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","132","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","133","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","134","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","135","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","136","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","137","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","138","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","139","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","140","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","141","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","142","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","143","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","144","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","145","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","146","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","147","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","148","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","149","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","150","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","151","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","152","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","153","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","154","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","155","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","156","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","157","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","158","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","159","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","160","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","161","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","162","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","163","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","164","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","165","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","166","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","167","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","168","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","169","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","170","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","171","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","172","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","173","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","174","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","175","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","176","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","177","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","178","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","179","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","180","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","181","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","182","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","183","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","184","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","185","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","186","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","187","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","188","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","189","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","190","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","191","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","192","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","193","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","194","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","195","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","196","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","197","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","198","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","199","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","200","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","201","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","202","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","203","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","204","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","205","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","206","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","207","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","208","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","209","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","210","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","211","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","212","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","213","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","214","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","215","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","216","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","217","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","218","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","219","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","220","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","221","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","222","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","223","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","224","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","225","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","226","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","227","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","228","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","229","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","230","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","231","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","232","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","233","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","234","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","235","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","236","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","237","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","238","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","239","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","240","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","241","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","242","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","243","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","244","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","245","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","246","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","247","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","248","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","249","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","250","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","251","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","252","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","253","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","254","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","255","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","256","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","257","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","258","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","259","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","260","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","261","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","262","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","263","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","264","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","265","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","266","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","267","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
