"[기프트팀] 스티커 운영품목 관리표 
※ 본 문서는 매입(PB) 상품에 대해 기획/제작된 커스텀 스티커 디자인의 적용 품목, 용도, 규격, 관리코드 등을 통합 관리하기 위한 기준표입니다. ※ 
부자재 / 기타
규칙 및
구조 안내 NO","브랜드명","※ 코드 구성 개요
▪️형식 : TG+브랜드명(3)+상품번호(2)+부자재코드(2)
▪️부자재 코드 = S (스티커) 스티커 코드","타입","용도","규격(mm)","이미지","스티커 부착 위치","상품 매핑코드","조판수량","조판코드","기타","용지코드","원자재 용지명","용지가","장당","가공비 디지털인쇄","커팅","제본","1.택배비/박스제외
2.건당평균3분소요
  (박스당 50개기준)
3.주문수량에 따라 상이함 포장","합계","","","","","","","","","","","",""
"11","정수당","TGJSD01S2","블루","","45*45","","","TGJSD01","54","답례품 스티커 노랑","","","80모조","₩145","₩3","₩1","₩4","₩151","₩36","₩196","₩213","","","","","","","","","","",""
"12","정수당","TGJSD01S3","브라운","","45*45","","","TGJSD01","54","답례품 스티커 노랑","","","80모조","₩145","₩3","₩1","₩4","₩151","₩36","₩196","72.22222222","","","","","","","","","","",""
"13","이코복스","TGIKX01S1","브라운","","65X65mm","","","TGIKX01","24","이코북스","","","80모조","₩145","₩6","₩3","₩10","₩136","₩36","₩192","","","","","","","","","","","",""
"14","이코복스","TGIKX01S2","화이트","","65X65mm","","","TGIKX01","24","이코북스","","","80모조","₩145","₩6","₩3","₩10","₩136","₩36","₩192","","","","","","","","","","","",""
"15","정수당","TGJSD02S1","결혼(하트)","","55*194(mm)","","","TGJSD02D1","10","정수당 꿀스틱","한글, 영문 이름 인쇄 ","","80모조","₩145","₩15","₩8","₩24","₩189","₩36","₩271","","","","","","","","","","","",""
"16","정수당","TGJSD02S2","특별한날(클로바)","","55*194(mm)","","","TGJSD02D1","10","정수당 꿀스틱","","","80모조","₩145","₩15","₩8","₩24","₩189","₩36","₩271","","","","","","","","","","","",""
"17","정수당","TGJSD02S3","돌잔치(토끼)","","55*194(mm)","","","TGJSD02D1","10","정수당 꿀스틱","한글, 영문 이름 인쇄 ","","80모조","₩145","₩15","₩8","₩24","₩189","₩36","₩271","","","","","","","","","","","",""
"20","오설록","TGOSLRE01S1","공용1
결혼(핑크)","","78X86mm","","","OSL003
OSL004
OSL006","15","얼그레이 웨하스 공용박스","","","80모조","₩145","₩10","₩5","₩16","₩226","₩36","₩294","","","","","","","","","","","",""
"21","오설록","TGOSLRE01S2","공용2
새(옐로우)","","78X86mm","","","OSL003
OSL004
OSL006","15","얼그레이 웨하스 공용박스","","","80모조","₩145","₩10","₩5","₩16","₩226","₩36","₩294","","","","","","","","","","","",""
"22","오설록","OSL005S1","옐로우","","55X80mm","","","OSL005","21","프리미엄 녹차와플","","","80모조","₩145","₩7","₩4","₩11","₩136","₩36","₩194","","","","","","","","","","","",""
"23","정수당","TGJSD03S1","핑크","","64X130mm","","","TGJSD03D1","12","정수당 하루견과","결혼 스티커","","80모조","₩145","₩12","₩7","₩20","₩226","₩36","₩301","","","","","","","","","","","",""
"24","정수당","TGJSD03S2","옐로우","","64X130mm","","","TGJSD03D1","12","정수당 하루견과","돌 스티커
아기이름
아빠, 엄마 이름 ","","80모조","₩145","₩12","₩7","₩20","₩226","₩36","₩301","","","","","","","","","","","",""
"25","정수당","TGJSD03S3","블루","","64X130mm","","","TGJSD03D1","12","정수당 하루견과","돌 스티커","","80모조","₩145","₩12","₩7","₩20","₩226","₩36","₩301","","","","","","","","","","","",""
"26","노슈가애디드","TGNSG01S1","옐로우_새로운시작","","122*64(mm)","","","TGNSG01","12","노슈가애디드 122x64","","","80모조","","","","","","","","","","","","","","","","","","",""
"27","노슈가애디드","TGNSG01S2","그린_새로운시작","","122*64(mm)","","","TGNSG01","12","노슈가애디드 122x64","","","80모조","","","","","","","","","","","","","","","","","","",""
"28","노슈가애디드","TGNSG01S3","레드_감사합니다","","64*97(mm)","","","TGNSG01","12","","","","80모조","","","","","","","","","","","","","","","","","","",""
"29","정백","TGIBK01S1","1st_돌","","TGJBK04S2","","","TGIBK01D1","6","이부키산","","","80모조","","","","","","","","","","","","","","","","","","",""
"30","정백","TGIBK01S2","thank_축하","","90X155mm","","","","6","이부키산","","","80모조","","","","","","","","","","","","","","","","","","",""
"31","정백","TGIBK01S3","wedding","","90X155mm","","","","6","이부키산","한글, 영문 이름 인쇄 ","","80모조","","","","","","","","","","","","","","","","","","",""
"32","정백","TGJBK01S1","웨딩_감사","","60X112mm","","","TGJBK01O2","14","정백 핸드워시 66x118","","","80모조","","","","","","","","","","","","","","","","","","",""
"33","정백","TGJBK01S2","웨딩_thank you","","60X112mm","","","TGJBK01O2","14","정백 핸드워시 66x118","","","80모조","","","","","","","","","","","","","","","","","","",""
"34","정백","TGJBK01S3","돌_첫돌","","60X112mm","","","TGJBK01O2","14","정백 핸드워시 66x118","","","80모조","","","","","","","","","","","","","","","","","","",""
"35","정백","TGJBK01S4","돌_1st","","60X112mm","","","TGJBK01O2","14","정백 핸드워시 66x118","","","80모조","","","","","","","","","","","","","","","","","","",""
"36","정백","TGJBK03S1","감사","","60X112mm","","","TGJBK03D1","15","정백 주방세제","","","80모조","","","","","","","","","","","","","","","","","","",""
"37","정백","TGJBK03S2","thank you","","60X112mm","","","TGJBK03D1","15","정백 주방세제","","","80모조","","","","","","","","","","","","","","","","","","",""
"38","정백","TGJBK03S3","첫돌","","60X112mm","","","TGJBK03D1","15","정백 주방세제","","","80모조","","","","","","","","","","","","","","","","","","",""
"39","정백","TGJBK03S4","1st","","60X112mm","","","TGJBK03D1","15","정백 주방세제","","","80모조","","","","","","","","","","","","","","","","","","",""
"40","정백","TGJBK04S1","웨딩_감사","","90X145mm","","","TGJBK04D1","9","정백 핸드워시&리필 기프트 세트","","","80모조","","","","","","","","","","","","","","","","","","",""
"41","정백","TGJBK04S2","웨딩_thank you","","90X145mm","","","TGJBK04D1","9","정백  핸드워시&리필 기프트 세트","","","80모조","","","","","","","","","","","","","","","","","","",""
"42","정백","TGJBK04S3","돌_첫돌","","90X145mm","","","TGJBK04D1","9","정백  핸드워시&리필 기프트 세트","","","80모조","","","","","","","","","","","","","","","","","","",""
"43","정백","TGJBK04S4","돌_1st","","90X145mm","","","TGJBK04D1","9","정백  핸드워시&리필 기프트 세트","","","80모조","","","","","","","","","","","","","","","","","","",""
"44","정백","TGJBK05S1","웨딩_감사","","90X145mm","","","TGJBK05D1","9","정백  핸드크림&핸드워시 기프트 세트","","","80모조","","","","","","","","","","","","","","","","","","",""
"45","정백","TGJBK05S2","웨딩_thank you","","90X145mm","","","TGJBK05D1","9","정백  핸드크림&핸드워시 기프트 세트","","","80모조","","","","","","","","","","","","","","","","","","",""
"46","정백","TGJBK05S3","돌_첫돌","","90X145mm","","","TGJBK05D1","9","정백  핸드크림&핸드워시 기프트 세트","","","80모조","","","","","","","","","","","","","","","","","","",""
"47","정백","TGJBK05S4","돌_1st","","90X145mm","","","TGJBK05D1","9","정백  핸드크림&핸드워시 기프트 세트","","","80모조","","","","","","","","","","","","","","","","","","",""
"48","정수당","TGJSD05S1","감사합니다","","52X218mm","","","TGJSD05D1","10","정수당 소금","","","80모조","","","","","","","","","","","","","","","","","","",""
"49","정수당","TGJSD05S2","1st_돌","","52X218mm","","","TGJSD05D1","10","정수당 소금","","","80모조","","","","","","","","","","","","","","","","","","",""
"50","정수당","TGJSD05S3","60th_생신","","52X218mm","","","TGJSD05D1","10","정수당 소금","","","80모조","","","","","","","","","","","","","","","","","","",""
"51","정백","TGJBK02S1","웨딩_감사","","37X142mm","","","TGJBK02O1","24","핸드크림 기프트","","","80모조","","","","","","","","","","","","","","","","","","",""
"52","정백","TGJBK02S2","웨딩_thank you","","37X142mm","","","TGJBK02O1","24","핸드크림 기프트","","","80모조","","","","","","","","","","","","","","","","","","",""
"53","정백","TGJBK02S3","돌_첫돌","","37X142mm","","","TGJBK02O1","24","핸드크림 기프트","","","80모조","","","","","","","","","","","","","","","","","","",""
"54","정백","TGJBK02S4","돌_1st","","37X142mm","","","TGJBK02O1","24","핸드크림 기프트","","","80모조","","","","","","","","","","","","","","","","","","",""
"55","알뮤터","TGAMT01S1","(c)ThankYou_wedding","","75X62mm","","","TGAMT01O1","20","","알뮤터 에스프레소 블록 커피 4p 선물세트","","80모조","","","","","","","","","","","","","","","","","","",""
"56","알뮤터","TGAMT01S2","(c)ThankYou_첫돌","","75X62mm","","","TGAMT01O1","20","","알뮤터 에스프레소 블록 커피 4p 선물세트","","80모조","","","","","","","","","","","","","","","","","","",""
"57","알뮤터","TGAMT01S3","(c)감사합니다_환갑","","75X62mm","","","TGAMT01O1","20","","알뮤터 에스프레소 블록 커피 4p 선물세트","","80모조","","","","","","","","","","","","","","","","","","",""
"58","정수당","TGJSD08S1","(c)결혼","","50X70mm","","","TGJSD08D1","36","바른쿠키","","","80모조","","","","","","","","","","","","","","","","","","",""
"59","정수당","TGJSD08S2","(c)첫돌","","50X70mm","","","TGJSD08D1","36","바른쿠키","","","80모조","","","","","","","","","","","","","","","","","","",""
"60","정수당","TGJSD08S3","(c)생신","","50X70mm","","","TGJSD08D1","36","바른쿠키","","","80모조","","","","","","","","","","","","","","","","","","",""
"61","정수당","TGJSD06S1","(c)하트_돌","","90x32mm","","레몬즙","TGJSD06D1","32","","","","80모조","","","","","","","","","","","","","","","","","","",""
"62","정수당","TGJSD06S2","(c)클로버_환갑","","90x32mm","","레몬즙","TGJSD06D1","36","","","","80모조","","","","","","","","","","","","","","","","","","",""
"63","정수당","TGJSD06S3","(c)스마일_결혼","","90x32mm","","레몬즙","TGJSD06D1","36","","","","80모조","","","","","","","","","","","","","","","","","","",""
"64","정수당","TGJSD07S1","(c)ThankYou_첫돌","","60x29.5mm","","올리브","TGJSD07D1","36","","","","80모조","","","","","","","","","","","","","","","","","","",""
"65","정수당","TGJSD07S2","(c)감사합니다_환갑","","60x29.5mm","","올리브","TGJSD07D1","48","","","","80모조","","","","","","","","","","","","","","","","","","",""
"66","정수당","TGJSD07S3","(c)ThankYou_wedding","","60x29.5mm","","올리브","TGJSD07D1","48","","","","80모조","","","","","","","","","","","","","","","","","","",""
"67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
